device,config,model,query_id,dataset,warmup,ttft_ms,e2e_ms,t_retrieval_ms,t_prefill_ms,t_decode_ms,n_tokens,peak_rss_mb,t_query_start,t_query_end,energy_gross_j,energy_idle_subtracted_j,answer_text,retrieved_ids,is_mock,em,f1,faithfulness,accuracy_harmonic
desktop,exp1_baseline,gemma-2-2b-it,squad-0,squad,1,81.359,116.344,7.063,74.296,6.2916,5,2062.2,1783195702.3768322,1783195702.4932907,3.8873,0.0,Denver Broncos,wiki-0|wiki-4|wiki-3833|wiki-6476|wiki-2,0,1,1.0,1.0,1.0
desktop,exp1_baseline,gemma-2-2b-it,squad-1,squad,1,62.804,117.142,3.246,59.558,5.6362,5,2141.4,1783195702.650385,1783195702.7676163,4.6482,0.7286,Carolina Panthers,wiki-0|wiki-3833|wiki-4|wiki-2|wiki-3825,0,1,1.0,1.0,1.0
desktop,exp1_baseline,gemma-2-2b-it,squad-2,squad,1,60.243,211.006,3.169,57.074,6.1279,19,2139.4,1783195702.9005084,1783195703.1115937,9.5402,2.4825,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",wiki-0|wiki-4|wiki-3826|wiki-3833|wiki-3830,0,1,1.0,1.0,1.0
desktop,exp1_baseline,gemma-2-2b-it,squad-3,squad,1,57.332,102.395,3.243,54.089,3.9566,5,2213.9,1783195703.2080286,1783195703.3105104,6.0936,2.6671,Denver Broncos,wiki-0|wiki-3|wiki-3833|wiki-2|wiki-3825,0,1,1.0,1.0,1.0
desktop,exp1_baseline,gemma-2-2b-it,squad-4,squad,1,44.434,87.463,3.954,40.48,4.777,4,2306.6,1783195703.421769,1783195703.5093133,5.2076,2.2805,Gold,wiki-0|wiki-1|wiki-4|wiki-3826|wiki-10288,0,1,1.0,1.0,1.0
desktop,exp1_baseline,gemma-2-2b-it,squad-5,squad,0,45.372,73.619,3.324,42.048,4.234,6,2306.6,1783195703.6521072,1783195703.7258043,7.3999,4.9358,Golden anniversary.,wiki-0|wiki-1|wiki-4|wiki-3|wiki-3826,0,1,1.0,1.0,1.0
desktop,exp1_baseline,gemma-2-2b-it,squad-6,squad,0,58.41,143.141,2.975,55.435,4.0139,15,2394.2,1783195703.8717775,1783195704.0149977,14.3807,9.5921,"Sunday, February 3, 2019.",wiki-3830|wiki-3826|wiki-0|wiki-3789|wiki-3833,0,0,0.3333,1.0,0.5
desktop,exp1_baseline,gemma-2-2b-it,squad-7,squad,0,54.776,106.256,3.149,51.627,4.152,6,2482.8,1783195704.1377017,1783195704.244037,12.589,9.0337,American Football Conference,wiki-6476|wiki-2673|wiki-2844|wiki-1985|wiki-784,0,1,1.0,1.0,1.0
desktop,exp1_baseline,gemma-2-2b-it,squad-8,squad,0,44.174,125.156,3.186,40.988,3.913,6,2506.9,1783195704.3560896,1783195704.4813223,14.8263,10.6391,Golden anniversary.,wiki-0|wiki-1|wiki-4|wiki-3|wiki-3826,0,1,1.0,1.0,1.0
desktop,exp1_baseline,gemma-2-2b-it,squad-9,squad,0,54.438,109.769,3.025,51.413,3.837,6,2492.8,1783195704.5965831,1783195704.7064297,12.6823,9.0095,American Football Conference,wiki-6476|wiki-1985|wiki-2673|wiki-3898|wiki-6477,0,1,1.0,1.0,1.0
desktop,exp1_baseline,gemma-2-2b-it,squad-10,squad,0,55.084,148.259,3.175,51.909,3.9022,15,2485.1,1783195704.8257751,1783195704.974113,17.1061,12.1464,"Sunday, February 3, 2019.",wiki-3830|wiki-3826|wiki-3833|wiki-0|wiki-4,0,0,0.3333,1.0,0.5
desktop,exp1_baseline,gemma-2-2b-it,squad-11,squad,0,57.186,133.45,3.017,54.169,4.0271,7,2482.0,1783195705.0917127,1783195705.2252462,15.9759,11.5112,The Denver Broncos.,wiki-0|wiki-3|wiki-4|wiki-3833|wiki-2,0,1,1.0,1.0,1.0
desktop,exp1_baseline,gemma-2-2b-it,squad-12,squad,0,54.839,114.919,3.26,51.579,3.8951,7,2479.4,1783195705.334427,1783195705.4494236,13.7582,9.9132,Levi's Stadium,wiki-0|wiki-4|wiki-3830|wiki-3826|wiki-3833,0,1,1.0,1.0,1.0
desktop,exp1_baseline,gemma-2-2b-it,squad-13,squad,0,56.442,113.974,3.124,53.318,4.0723,8,2479.5,1783195705.5533338,1783195705.6673856,13.275,9.4617,"Santa Clara, California.",wiki-0|wiki-4|wiki-3830|wiki-3826|wiki-3833,0,0,0.8,1.0,0.8889
desktop,exp1_baseline,gemma-2-2b-it,squad-14,squad,0,53.548,101.389,5.405,48.143,3.9642,6,2528.1,1783195705.857927,1783195705.9594045,11.811,8.418,Super Bowl L,wiki-1|wiki-0|wiki-3826|wiki-3|wiki-3833,0,1,1.0,1.0,1.0
desktop,exp1_baseline,gemma-2-2b-it,squad-15,squad,0,65.174,127.045,7.629,57.545,4.399,8,2516.8,1783195706.0622203,1783195706.189346,14.3178,10.0673,2015,wiki-0|wiki-3|wiki-3830|wiki-2|wiki-3833,0,1,1.0,1.0,1.0
desktop,exp1_baseline,gemma-2-2b-it,squad-16,squad,0,55.332,109.939,4.657,50.675,3.8338,8,2588.4,1783195706.3637123,1783195706.4737318,12.3728,8.6943,2016,wiki-0|wiki-3|wiki-2|wiki-3825|wiki-3831,0,1,1.0,1.0,1.0
desktop,exp1_baseline,gemma-2-2b-it,squad-17,squad,0,55.787,118.66,3.363,52.424,3.9034,8,2584.7,1783195706.6029816,1783195706.7218118,12.4956,8.5224,"Santa Clara, California.",wiki-0|wiki-4|wiki-3830|wiki-3826|wiki-3833,0,0,0.8,1.0,0.8889
desktop,exp1_baseline,gemma-2-2b-it,squad-18,squad,0,57.406,89.733,3.73,53.676,4.1687,7,2584.8,1783195706.8366005,1783195706.9264152,9.444,6.441,Levi's Stadium,wiki-0|wiki-4|wiki-3830|wiki-3833|wiki-3826,0,1,1.0,1.0,1.0
desktop,exp1_baseline,gemma-2-2b-it,squad-19,squad,0,54.499,123.55,3.191,51.308,4.0246,9,2580.3,1783195707.0553865,1783195707.1790147,13.1961,9.0626,24–10,wiki-0|wiki-3|wiki-3833|wiki-3826|wiki-4,0,1,1.0,1.0,1.0
desktop,exp1_baseline,gemma-2-2b-it,squad-20,squad,0,56.302,128.891,4.301,52.001,3.8982,13,2648.1,1783195707.3033566,1783195707.4323294,13.831,9.5188,"February 7, 2016.",wiki-0|wiki-3826|wiki-4|wiki-3830|wiki-3833,0,1,1.0,1.0,1.0
desktop,exp1_baseline,gemma-2-2b-it,squad-21,squad,0,55.843,119.943,3.878,51.965,3.8706,8,2646.7,1783195707.5488634,1783195707.6688855,13.6345,9.6215,2016,wiki-0|wiki-4|wiki-3826|wiki-3|wiki-3833,0,1,1.0,1.0,1.0
desktop,exp1_baseline,gemma-2-2b-it,squad-22,squad,0,55.299,105.282,3.243,52.056,3.8878,5,2638.7,1783195707.8028848,1783195707.908245,11.9689,8.4462,Denver Broncos,wiki-6476|wiki-3831|wiki-0|wiki-2|wiki-3833,0,1,1.0,1.0,1.0
desktop,exp1_baseline,gemma-2-2b-it,squad-23,squad,0,55.313,106.925,3.032,52.281,3.8846,7,2713.3,1783195708.0380936,1783195708.145098,12.1757,8.5979,St. Louis Rams,wiki-3833|wiki-0|wiki-3831|wiki-6476|wiki-2,0,0,0.0,1.0,0.0
desktop,exp1_baseline,gemma-2-2b-it,squad-24,squad,0,53.733,116.72,2.874,50.859,3.8366,7,2724.8,1783195708.2693172,1783195708.3861127,13.2902,9.3851,The Denver Broncos.,wiki-0|wiki-3|wiki-4|wiki-3833|wiki-2,0,1,1.0,1.0,1.0
