t_epoch,charge_uah,voltage_mv
1783126515.509,5164000,8759
1783126517.747,5164000,8759
1783126520.003,5164000,8759
1783126522.126,5164000,8759
1783126524.298,5164000,8759
1783126526.445,5164000,8759
1783126528.606,5164000,8759
1783126530.771,5164000,8759
1783126532.904,5164000,8759
1783126535.043,5164000,8759
1783126537.189,5164000,8759
1783126539.317,5164000,8759
1783126541.465,5164000,8759
1783126543.589,5164000,8759
1783126545.751,5164000,8759
1783126547.927,5164000,8759
1783126550.061,5164000,8759
1783126552.185,5164000,8759
1783126554.327,5164000,8759
1783126556.450,5146000,8640
1783126558.595,5146000,8640
1783126560.740,5146000,8640
1783126562.882,5146000,8640
1783126565.015,5146000,8640
1783126567.154,5146000,8640
1783126569.279,5146000,8640
1783126571.402,5146000,8640
1783126573.526,5146000,8640
1783126575.667,5146000,8640
1783126577.795,5146000,8640
1783126579.920,5146000,8640
1783126582.064,5146000,8640
1783126584.203,5134000,8633
1783126586.366,5134000,8633
1783126588.549,5134000,8633
1783126590.785,5134000,8633
1783126592.919,5134000,8633
1783126595.044,5134000,8633
1783126597.167,5134000,8633
1783126599.317,5134000,8633
1783126601.448,5134000,8633
1783126603.571,5134000,8633
1783126605.729,5134000,8633
1783126607.880,5134000,8633
1783126610.003,5134000,8633
1783126612.192,5134000,8633
1783126614.316,5134000,8633
1783126616.439,5120000,8633
1783126618.600,5120000,8633
1783126620.727,5120000,8633
1783126622.866,5120000,8633
1783126625.005,5120000,8633
1783126627.159,5120000,8633
1783126629.302,5120000,8633
1783126631.443,5114000,8630
1783126633.594,5114000,8630
1783126635.733,5114000,8630
1783126637.855,5114000,8630
1783126640.062,5114000,8630
1783126642.236,5114000,8630
1783126644.360,5114000,8630
1783126646.500,5114000,8630
1783126648.749,5114000,8630
1783126650.927,5114000,8630
1783126653.091,5114000,8630
1783126655.215,5114000,8630
1783126657.345,5102000,8631
1783126659.542,5102000,8631
1783126661.725,5102000,8631
1783126663.885,5102000,8631
1783126666.060,5102000,8631
1783126668.432,5102000,8631
1783126670.555,5102000,8631
1783126673.002,5102000,8631
1783126675.127,5102000,8631
1783126677.439,5096000,8648
1783126679.563,5096000,8648
1783126681.726,5096000,8648
1783126683.851,5096000,8648
1783126686.015,5096000,8648
1783126688.139,5096000,8648
1783126690.263,5096000,8648
1783126692.386,5096000,8648
1783126694.511,5096000,8648
1783126696.635,5088000,8678
1783126698.770,5088000,8678
1783126700.897,5088000,8678
1783126703.022,5088000,8678
1783126705.157,5088000,8678
1783126707.291,5088000,8678
1783126709.423,5088000,8678
1783126711.598,5088000,8678
1783126713.748,5088000,8678
1783126715.878,5088000,8678
1783126718.002,5088000,8678
1783126720.135,5088000,8678
1783126722.268,5088000,8678
1783126724.410,5088000,8678
1783126726.550,5088000,8678
1783126728.736,5088000,8678
1783126730.923,5088000,8678
1783126733.045,5088000,8678
1783126735.172,5088000,8678
1783126737.327,5074000,8638
1783126739.451,5074000,8638
1783126741.576,5074000,8638
1783126743.699,5074000,8638
1783126745.822,5074000,8638
1783126747.958,5074000,8638
1783126750.133,5074000,8638
1783126752.253,5074000,8638
1783126754.441,5074000,8638
1783126756.567,5074000,8638
1783126758.738,5074000,8638
1783126760.861,5074000,8638
1783126762.984,5074000,8638
1783126765.107,5074000,8638
1783126767.231,5074000,8638
1783126769.371,5074000,8638
1783126771.495,5074000,8638
1783126773.619,5074000,8638
1783126775.785,5074000,8638
1783126777.918,5074000,8638
1783126780.083,5074000,8638
1783126782.250,5074000,8638
1783126784.384,5074000,8638
1783126786.515,5074000,8638
1783126788.658,5074000,8638
1783126790.807,5074000,8638
1783126792.942,5074000,8638
1783126795.078,5074000,8638
1783126797.233,5052000,8631
1783126799.384,5052000,8631
1783126801.516,5052000,8631
1783126803.649,5052000,8631
1783126805.838,5052000,8631
1783126808.038,5052000,8631
1783126810.208,5052000,8631
1783126812.341,5052000,8631
1783126814.476,5052000,8631
1783126816.621,5052000,8631
1783126818.746,5052000,8631
1783126820.886,5052000,8631
1783126823.021,5052000,8631
1783126825.153,5052000,8631
1783126827.286,5052000,8631
1783126829.420,5052000,8631
1783126831.552,5052000,8631
1783126833.694,5052000,8631
1783126835.822,5052000,8631
1783126837.965,5036000,8650
1783126840.107,5036000,8650
1783126842.233,5036000,8650
1783126844.357,5036000,8650
1783126846.481,5036000,8650
1783126848.611,5036000,8650
1783126850.791,5036000,8650
1783126852.916,5036000,8650
1783126855.070,5036000,8650
1783126857.202,5030000,8615
1783126859.373,5030000,8615
1783126861.508,5030000,8615
1783126863.652,5030000,8615
1783126865.787,5030000,8615
1783126867.925,5030000,8615
1783126870.058,5030000,8615
1783126872.189,5030000,8615
1783126874.314,5030000,8615
1783126876.437,5030000,8615
1783126878.560,5030000,8615
1783126880.726,5030000,8615
1783126882.851,5030000,8615
1783126884.979,5030000,8615
1783126887.147,5030000,8615
1783126889.275,5030000,8615
1783126891.399,5030000,8615
1783126893.559,5030000,8615
1783126895.760,5030000,8615
1783126897.886,5030000,8615
