t_epoch,power_w
1783195639.329,33.23
1783195639.430,33.23
1783195639.530,33.51
1783195639.630,33.51
1783195639.731,33.51
1783195639.831,33.51
1783195639.932,33.51
1783195640.032,33.73
1783195640.133,33.73
1783195640.233,33.73
1783195640.334,33.73
1783195640.434,33.73
1783195640.535,33.53
1783195640.635,33.53
1783195640.736,33.53
1783195640.837,33.53
1783195640.937,33.53
1783195641.038,33.49
1783195641.138,33.49
1783195641.239,33.49
1783195641.339,33.49
1783195641.440,33.49
1783195641.540,33.56
1783195641.641,33.56
1783195641.741,33.56
1783195641.842,33.56
1783195641.942,33.56
1783195642.042,33.62
1783195642.143,33.62
1783195642.243,33.62
1783195642.344,33.62
1783195642.444,33.62
1783195642.544,33.84
1783195642.645,33.84
1783195642.745,33.84
1783195642.845,33.84
1783195642.946,33.84
1783195643.047,33.76
1783195643.148,33.76
1783195643.248,33.76
1783195643.349,33.76
1783195643.449,33.76
1783195643.549,33.61
1783195643.650,33.61
1783195643.750,33.61
1783195643.851,33.61
1783195643.952,33.61
1783195644.052,33.51
1783195644.152,33.51
1783195644.253,33.51
1783195644.353,33.51
1783195644.453,33.51
1783195644.554,33.30
1783195644.654,33.30
1783195644.755,33.30
1783195644.856,33.30
1783195644.956,33.30
1783195645.057,33.20
1783195645.157,33.20
1783195645.258,33.20
1783195645.358,33.20
1783195645.458,33.20
1783195645.559,33.44
1783195645.659,33.44
1783195645.760,33.44
1783195645.861,33.44
1783195645.961,33.44
1783195646.061,33.40
1783195646.162,33.40
1783195646.262,33.40
1783195646.363,33.40
1783195646.463,33.40
1783195646.564,33.48
1783195646.664,33.48
1783195646.765,33.48
1783195646.865,33.48
1783195646.966,33.48
1783195647.067,33.60
1783195647.168,33.60
1783195647.268,33.60
1783195647.368,33.60
1783195647.469,33.60
1783195647.570,33.52
1783195647.671,33.52
1783195647.772,33.52
1783195647.872,33.52
1783195647.973,33.52
1783195648.074,33.61
1783195648.174,33.61
1783195648.275,33.61
1783195648.375,33.61
1783195648.475,33.61
1783195648.576,33.58
1783195648.676,33.58
1783195648.777,33.58
1783195648.877,33.58
1783195648.977,33.58
1783195649.078,33.56
1783195649.178,33.56
1783195649.279,33.56
1783195649.379,33.56
1783195649.479,33.56
1783195649.580,33.51
1783195649.681,33.51
1783195649.781,33.51
1783195649.882,33.51
1783195649.982,33.51
1783195650.083,33.62
1783195650.183,33.62
1783195650.283,33.62
1783195650.384,33.62
1783195650.484,33.62
1783195650.585,33.65
1783195650.685,33.65
1783195650.786,33.65
1783195650.886,33.65
1783195650.986,33.65
1783195651.087,33.55
1783195651.188,33.55
1783195651.288,33.55
1783195651.388,33.55
1783195651.489,33.55
1783195651.589,33.50
1783195651.690,33.50
1783195651.790,33.50
1783195651.891,33.50
1783195651.991,33.50
1783195652.092,33.38
1783195652.192,33.38
1783195652.293,33.38
1783195652.394,33.38
1783195652.494,33.38
1783195652.595,33.49
1783195652.696,33.49
1783195652.796,33.49
1783195652.896,33.49
1783195652.997,33.49
1783195653.098,33.57
1783195653.198,33.57
1783195653.299,33.57
1783195653.400,33.57
1783195653.501,33.57
1783195653.602,33.49
1783195653.702,33.49
1783195653.803,33.49
1783195653.904,33.49
1783195654.004,33.49
1783195654.104,33.56
1783195654.205,33.56
1783195654.305,33.56
1783195654.405,33.56
1783195654.506,33.56
1783195654.607,33.53
1783195654.707,33.53
1783195654.808,33.53
1783195654.908,33.53
1783195655.008,33.53
1783195655.109,33.62
1783195655.210,33.62
1783195655.310,33.62
1783195655.410,33.62
1783195655.511,33.62
1783195655.611,33.66
1783195655.712,33.66
1783195655.812,33.66
1783195655.913,33.66
1783195656.013,33.66
1783195656.114,33.68
1783195656.215,33.68
1783195656.315,33.68
1783195656.415,33.68
1783195656.516,33.68
1783195656.617,33.53
1783195656.717,33.53
1783195656.818,33.53
1783195656.918,33.53
1783195657.019,33.53
1783195657.119,33.55
1783195657.220,33.55
1783195657.320,33.55
1783195657.421,33.55
1783195657.521,33.55
1783195657.621,33.52
1783195657.722,33.52
1783195657.822,33.52
1783195657.923,33.52
1783195658.023,33.52
1783195658.124,33.49
1783195658.224,33.49
1783195658.325,33.49
1783195658.426,33.49
1783195658.526,33.49
1783195658.627,33.53
1783195658.727,33.53
1783195658.828,33.53
1783195658.929,33.53
1783195659.029,33.69
1783195659.129,33.69
1783195659.230,33.69
1783195659.330,33.69
1783195659.431,33.69
1783195659.531,33.79
1783195659.632,33.79
1783195659.734,33.79
1783195659.834,33.79
1783195659.935,33.79
1783195660.035,33.65
1783195660.136,33.65
1783195660.236,33.65
1783195660.337,33.65
1783195660.437,33.65
1783195660.537,33.60
1783195660.638,33.60
1783195660.739,33.60
1783195660.839,33.60
1783195660.939,33.60
1783195661.040,33.54
1783195661.141,33.54
1783195661.241,33.54
1783195661.341,33.54
1783195661.442,33.54
1783195661.542,33.58
1783195661.643,33.58
1783195661.743,33.58
1783195661.844,33.58
1783195661.944,33.58
1783195662.044,33.61
1783195662.144,33.61
1783195662.245,33.61
1783195662.345,33.61
1783195662.445,33.61
1783195662.546,33.40
1783195662.646,33.40
1783195662.747,33.40
1783195662.847,33.40
1783195662.947,33.40
1783195663.047,33.40
1783195663.148,33.40
1783195663.248,33.40
1783195663.349,33.40
1783195663.449,33.40
1783195663.549,33.50
1783195663.650,33.50
1783195663.750,33.50
1783195663.851,33.50
1783195663.951,33.50
1783195664.051,33.49
1783195664.152,33.49
1783195664.252,33.49
1783195664.353,33.49
1783195664.453,33.49
1783195664.554,33.63
1783195664.655,33.63
1783195664.755,33.63
1783195664.856,33.63
1783195664.957,33.63
1783195665.057,33.58
1783195665.158,33.58
1783195665.258,33.58
1783195665.359,33.58
1783195665.459,33.58
1783195665.560,33.42
1783195665.660,33.42
1783195665.761,33.42
1783195665.862,33.42
1783195665.963,33.42
1783195666.063,33.41
1783195666.163,33.41
1783195666.264,33.41
1783195666.364,33.41
1783195666.465,33.41
1783195666.565,33.34
1783195666.666,33.34
1783195666.767,33.34
1783195666.867,33.34
1783195666.968,33.34
1783195667.068,33.29
1783195667.169,33.29
1783195667.270,33.29
1783195667.370,33.29
1783195667.471,33.29
1783195667.572,33.53
1783195667.673,33.53
1783195667.774,33.53
1783195667.874,33.53
1783195667.975,33.53
1783195668.075,33.62
1783195668.175,33.62
1783195668.276,33.62
1783195668.377,33.62
1783195668.478,33.62
1783195668.578,33.50
1783195668.679,33.50
1783195668.779,33.50
1783195668.879,33.50
1783195668.980,33.50
1783195669.080,33.55
1783195669.180,33.55
1783195669.281,33.55
1783195669.381,33.55
1783195669.482,33.55
1783195669.582,33.51
1783195669.683,33.51
1783195669.783,33.51
1783195669.884,33.51
1783195669.984,33.51
1783195670.085,33.55
1783195670.185,33.55
1783195670.286,33.55
1783195670.387,33.55
1783195670.488,33.55
1783195670.588,33.52
1783195670.688,33.52
1783195670.789,33.52
1783195670.889,33.52
1783195670.990,33.52
1783195671.091,33.43
1783195671.191,33.43
1783195671.293,33.43
1783195671.394,33.43
1783195671.494,33.43
1783195671.595,33.32
1783195671.695,33.32
1783195671.796,33.32
1783195671.896,33.32
1783195671.997,33.32
1783195672.097,33.36
1783195672.198,33.36
1783195672.298,33.36
1783195672.399,33.36
1783195672.499,33.36
1783195672.600,33.34
1783195672.701,33.34
1783195672.801,33.34
1783195672.902,33.34
1783195673.002,33.34
1783195673.102,33.41
1783195673.203,33.41
1783195673.304,33.41
1783195673.404,33.41
1783195673.504,33.41
1783195673.605,33.46
1783195673.705,33.46
1783195673.805,33.46
1783195673.906,33.46
1783195674.006,33.46
1783195674.106,33.30
1783195674.206,33.30
1783195674.307,33.30
1783195674.407,33.30
1783195674.508,33.30
1783195674.608,33.30
1783195674.709,33.30
1783195674.809,33.30
1783195674.910,33.30
1783195675.010,33.30
1783195675.111,33.16
1783195675.211,33.16
1783195675.312,33.16
1783195675.413,33.16
1783195675.513,33.16
1783195675.613,33.31
1783195675.714,33.31
1783195675.814,33.31
1783195675.915,33.31
1783195676.015,33.31
1783195676.116,33.44
1783195676.216,33.44
1783195676.317,33.44
1783195676.417,33.44
1783195676.518,33.44
1783195676.618,33.52
1783195676.718,33.52
1783195676.819,33.52
1783195676.919,33.52
1783195677.020,33.52
1783195677.120,33.46
1783195677.221,33.46
1783195677.321,33.46
1783195677.422,33.46
1783195677.522,33.46
1783195677.622,33.50
1783195677.723,33.50
1783195677.823,33.50
1783195677.924,33.50
1783195678.024,33.50
1783195678.125,33.48
1783195678.226,33.48
1783195678.327,33.48
1783195678.427,33.48
1783195678.527,33.48
1783195678.628,33.60
1783195678.728,33.60
1783195678.829,33.60
1783195678.930,33.60
1783195679.030,33.60
1783195679.131,33.53
1783195679.232,33.53
1783195679.333,33.53
1783195679.433,33.53
1783195679.534,33.40
1783195679.634,33.40
1783195679.735,33.40
1783195679.835,33.40
1783195679.936,33.40
1783195680.037,33.24
1783195680.138,33.24
1783195680.239,33.24
1783195680.339,33.24
1783195680.440,33.24
1783195680.540,33.42
1783195680.641,33.42
1783195680.741,33.42
1783195680.842,33.42
1783195680.942,33.42
1783195681.042,33.40
1783195681.143,33.40
1783195681.244,33.40
1783195681.344,33.40
1783195681.445,33.40
1783195681.546,33.23
1783195681.647,33.23
1783195681.747,33.23
1783195681.848,33.23
1783195681.949,33.23
1783195682.050,33.23
1783195682.150,33.23
1783195682.251,33.23
1783195682.352,33.23
1783195682.452,33.23
1783195682.553,33.10
1783195682.653,33.10
1783195682.754,33.10
1783195682.854,33.10
1783195682.954,33.10
1783195683.055,33.23
1783195683.156,33.23
1783195683.257,33.23
1783195683.357,33.23
1783195683.458,33.23
1783195683.558,33.22
1783195683.658,33.22
1783195683.759,33.22
1783195683.860,33.22
1783195683.960,33.22
1783195684.060,33.14
1783195684.161,33.14
1783195684.261,33.14
1783195684.362,33.14
1783195684.462,33.14
1783195684.563,33.27
1783195684.663,33.27
1783195684.764,33.27
1783195684.864,33.27
1783195684.964,33.27
1783195685.065,33.40
1783195685.165,33.40
1783195685.266,33.40
1783195685.367,33.40
1783195685.467,33.40
1783195685.568,33.22
1783195685.669,33.22
1783195685.769,33.22
1783195685.870,33.22
1783195685.971,33.22
1783195686.071,33.24
1783195686.172,33.24
1783195686.273,33.24
1783195686.374,33.24
1783195686.474,33.24
1783195686.574,33.13
1783195686.675,33.13
1783195686.776,33.13
1783195686.876,33.13
1783195686.977,33.13
1783195687.077,33.24
1783195687.178,33.24
1783195687.278,33.24
1783195687.378,33.24
1783195687.479,33.24
1783195687.580,33.29
1783195687.680,33.29
1783195687.780,33.29
