device,config,model,query_id,dataset,warmup,ttft_ms,e2e_ms,t_retrieval_ms,t_prefill_ms,t_decode_ms,n_tokens,peak_rss_mb,t_query_start,t_query_end,energy_gross_j,energy_idle_subtracted_j,answer_text,retrieved_ids,is_mock,em,f1,faithfulness,accuracy_harmonic
laptop,C1,gemma-2-2b-it,squad-0,squad,1,3286.117,3509.967,45.207,3240.91,37.6754,5,12216.1,1783116288.4708738,1783116291.9808643,107.339,8.6009,Denver Broncos,wiki-0|wiki-4|wiki-3833,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-1,squad,1,2859.685,3075.745,24.455,2835.23,38.3204,5,12280.6,1783116292.2538478,1783116295.329585,94.0591,7.5368,Carolina Panthers,wiki-0|wiki-3833|wiki-4,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-2,squad,1,2493.252,3457.367,18.765,2474.487,48.7973,19,12278.2,1783116295.5806458,1783116299.0379875,105.729,8.4719,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",wiki-0|wiki-4|wiki-3826,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-3,squad,1,2759.853,2985.304,37.026,2722.827,38.7194,5,12265.1,1783116299.2889724,1783116302.2742789,91.2937,7.3152,Denver Broncos,wiki-0|wiki-3|wiki-3833,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-4,squad,1,2213.806,2397.591,6.945,2206.861,34.9162,4,12246.0,1783116302.5327122,1783116304.9303231,73.3213,5.8751,Gold,wiki-0|wiki-1|wiki-4,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-5,squad,0,2365.08,2643.529,25.117,2339.963,45.6752,6,12245.7,1783116305.1882389,1783116307.8318038,83.1312,8.7661,Golden anniversary.,wiki-0|wiki-1|wiki-4,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-6,squad,0,3238.654,3938.238,26.245,3212.409,44.7342,15,12299.6,1783116308.118834,1783116312.0570757,126.4001,15.615,"Sunday, February 3, 2019.",wiki-3830|wiki-3826|wiki-0,0,0,0.3333,1.0,0.5
laptop,C1,gemma-2-2b-it,squad-7,squad,0,2782.162,3086.24,6.419,2775.743,41.7787,6,12283.4,1783116312.353749,1783116315.4399881,99.0868,12.269,American Football Conference,wiki-6476|wiki-2673|wiki-2844,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-8,squad,0,2229.498,2506.182,29.547,2199.951,40.7235,6,12289.0,1783116315.7299695,1783116318.2361627,80.4638,9.9631,Golden anniversary.,wiki-0|wiki-1|wiki-4,0,1,1.0,1.0,1.0
laptop,C1,gemma-2-2b-it,squad-9,squad,0,2817.708,3119.302,29.938,2787.77,45.2218,6,12284.9,1783116318.4779842,1783116321.5972943,100.1486,12.4005,American Football Conference,wiki-6476|wiki-1985|wiki-2673,0,1,1.0,1.0,1.0
