device,config,model,query_id,dataset,warmup,ttft_ms,e2e_ms,t_retrieval_ms,t_prefill_ms,t_decode_ms,n_tokens,peak_rss_mb,t_query_start,t_query_end,energy_gross_j,energy_idle_subtracted_j,answer_text,retrieved_ids,is_mock,em,f1,faithfulness,accuracy_harmonic
laptop,C2,gemma-2-2b-it,squad-0,squad,1,1800.041,2022.108,42.327,1757.714,39.5354,5,10333.4,1783118733.3247383,1783118735.346356,76.0209,19.1516,Denver Broncos,wiki-0|wiki-4|wiki-3833|wiki-2|wiki-6476,0,1,1.0,1.0,1.0
laptop,C2,gemma-2-2b-it,squad-1,squad,1,1699.72,1880.437,27.734,1671.986,35.304,5,10332.9,1783118735.6064744,1783118737.4864414,70.6943,17.8097,Carolina Panthers,wiki-0|wiki-3833|wiki-4|wiki-2|wiki-3825,0,1,1.0,1.0,1.0
laptop,C2,gemma-2-2b-it,squad-2,squad,1,1659.33,2609.046,26.39,1632.94,49.7683,19,10332.7,1783118737.732026,1783118740.3403077,98.0818,24.7093,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",wiki-0|wiki-4|wiki-3826|wiki-3833|wiki-3830,0,1,1.0,1.0,1.0
laptop,C2,gemma-2-2b-it,squad-3,squad,1,1550.811,1810.415,34.351,1516.46,51.091,5,10332.8,1783118740.567403,1783118742.3773465,68.0611,17.1463,Denver Broncos,wiki-0|wiki-3|wiki-3833|wiki-2|wiki-3825,0,1,1.0,1.0,1.0
laptop,C2,gemma-2-2b-it,squad-4,squad,1,1880.365,2059.039,20.039,1860.326,43.5947,4,10333.7,1783118742.6412466,1783118744.6997242,77.407,19.5008,Gold,wiki-0|wiki-1|wiki-4|wiki-3826|wiki-10288,0,1,1.0,1.0,1.0
laptop,C2,gemma-2-2b-it,squad-5,squad,0,1787.264,2101.806,29.241,1758.023,51.7132,6,10333.4,1783118744.956617,1783118747.0578587,77.1687,18.0595,Golden anniversary.,wiki-0|wiki-1|wiki-4|wiki-3|wiki-3826,0,1,1.0,1.0,1.0
laptop,C2,gemma-2-2b-it,squad-6,squad,0,1909.552,2617.272,6.372,1903.18,44.3109,15,10308.6,1783118747.3353739,1783118749.951874,94.4321,20.8284,"Sunday, February 3, 2019.",wiki-3830|wiki-3826|wiki-0|wiki-3789|wiki-3833,0,0,0.3333,1.0,0.5
laptop,C2,gemma-2-2b-it,squad-7,squad,0,1709.759,1964.325,13.018,1696.741,36.6298,6,10283.5,1783118750.212273,1783118752.17607,70.8754,15.6326,American Football Conference,wiki-6476|wiki-2673|wiki-2844|wiki-1985|wiki-784,0,1,1.0,1.0,1.0
laptop,C2,gemma-2-2b-it,squad-8,squad,0,1807.305,2063.569,38.998,1768.307,39.3648,6,10282.6,1783118752.4289408,1783118754.4920974,74.4614,16.4236,Golden anniversary.,wiki-0|wiki-1|wiki-4|wiki-3|wiki-3826,0,1,1.0,1.0,1.0
laptop,C2,gemma-2-2b-it,squad-9,squad,0,1663.973,1941.449,12.745,1651.228,42.8948,6,10283.0,1783118754.7485607,1783118756.6894896,70.0501,15.4506,American Football Conference,wiki-6476|wiki-1985|wiki-2673|wiki-3898|wiki-6477,0,1,1.0,1.0,1.0
laptop,C2,gemma-2-2b-it,squad-10,squad,0,1667.6,2331.461,17.467,1650.133,46.1546,14,10278.1,1783118756.9309578,1783118759.261751,83.8837,18.3171,"Sunday, February 3, 2019",wiki-3830|wiki-3826|wiki-3833|wiki-0|wiki-4,0,0,0.3333,1.0,0.5
