device,config,model,query_id,dataset,warmup,ttft_ms,e2e_ms,t_retrieval_ms,t_prefill_ms,t_decode_ms,n_tokens,peak_rss_mb,t_query_start,t_query_end,energy_gross_j,energy_idle_subtracted_j,answer_text,retrieved_ids,is_mock,em,f1,faithfulness,accuracy_harmonic
laptop,exp1_baseline,gemma-2-2b-it,squad-0,squad,1,3804.685,3968.274,16.127,3788.558,24.7588,5,4266.1,1783115275.57487,1783115279.543008,112.2388,0.6127,Denver Broncos,wiki-0|wiki-4|wiki-3833|wiki-2|wiki-6476,0,1,1.0,1.0,1.0
laptop,exp1_baseline,gemma-2-2b-it,squad-1,squad,1,4246.307,4479.396,4.952,4241.355,38.6656,5,4266.0,1783115279.7331567,1783115284.2123601,160.9461,34.9434,Carolina Panthers,wiki-0|wiki-3833|wiki-4|wiki-2|wiki-3825,0,1,1.0,1.0,1.0
laptop,exp1_baseline,gemma-2-2b-it,squad-2,squad,1,4941.6,6119.412,12.753,4928.847,60.133,19,4264.0,1783115284.4439876,1783115290.5631278,231.8481,59.713,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",wiki-0|wiki-4|wiki-3826|wiki-3833|wiki-3830,0,1,1.0,1.0,1.0
laptop,exp1_baseline,gemma-2-2b-it,squad-3,squad,1,5391.571,5714.124,15.963,5375.608,59.0282,5,4338.1,1783115290.856986,1783115296.570873,210.2387,49.5036,Denver Broncos,wiki-0|wiki-3|wiki-3833|wiki-2|wiki-3825,0,1,1.0,1.0,1.0
laptop,exp1_baseline,gemma-2-2b-it,squad-4,squad,1,4067.284,4370.078,52.758,4014.526,52.9064,5,4430.7,1783115296.8935308,1783115301.2634764,155.1855,32.2563,Gold.,wiki-0|wiki-1|wiki-4|wiki-3826|wiki-10288,0,1,1.0,1.0,1.0
laptop,exp1_baseline,gemma-2-2b-it,squad-5,squad,0,4428.658,4753.799,7.117,4421.541,44.365,7,4430.7,1783115301.5826342,1783115306.3362794,168.8114,35.0886,The golden anniversary.,wiki-0|wiki-1|wiki-4|wiki-3|wiki-3826,0,1,1.0,1.0,1.0
laptop,exp1_baseline,gemma-2-2b-it,squad-6,squad,0,6126.412,6961.236,22.146,6104.266,53.2823,15,4490.1,1783115306.6629057,1783115313.6238666,214.7415,18.9255,"Sunday, February 3, 2019.",wiki-3830|wiki-3826|wiki-0|wiki-3789|wiki-3833,0,0,0.3333,1.0,0.5
laptop,exp1_baseline,gemma-2-2b-it,squad-7,squad,0,5183.288,5477.245,6.92,5176.368,40.3297,6,4567.5,1783115313.9475076,1783115319.4245412,164.2727,10.2004,American Football Conference,wiki-6476|wiki-2673|wiki-2844|wiki-1985|wiki-784,0,1,1.0,1.0,1.0
laptop,exp1_baseline,gemma-2-2b-it,squad-8,squad,0,3817.579,4227.763,7.576,3810.003,51.5171,7,4582.0,1783115319.7276614,1783115323.9552922,126.7993,7.8735,The golden anniversary.,wiki-0|wiki-1|wiki-4|wiki-3|wiki-3826,0,1,1.0,1.0,1.0
laptop,exp1_baseline,gemma-2-2b-it,squad-9,squad,0,5128.078,5422.455,15.35,5112.728,41.0233,6,4568.0,1783115324.2442722,1783115329.6665292,162.6298,10.0984,American Football Conference,wiki-6476|wiki-1985|wiki-2673|wiki-3898|wiki-6477,0,1,1.0,1.0,1.0
